,state,sat_participation_rates,reading_and_writing,sat_math,total,act_participation_rates,english,act_math,reading,science,composite
0,Alabama,0.05,593.0,572.0,1165.0,1.0,18.9,18.4,19.7,19.4,19.2
1,Alaska,0.38,547.0,533.0,1080.0,0.65,18.7,19.8,20.4,19.9,19.8
2,Arizona,0.3,563.0,553.0,1116.0,0.62,18.6,19.8,20.1,19.8,19.7
3,Arkansas,0.03,614.0,594.0,1208.0,1.0,18.9,19.0,19.7,19.5,19.4
4,California,0.53,531.0,524.0,1055.0,0.31,22.5,22.7,23.1,22.2,22.8
5,Colorado,0.11,606.0,595.0,1201.0,1.0,20.1,20.3,21.2,20.9,20.8
6,Connecticut,1.0,530.0,512.0,1041.0,0.31,25.5,24.6,25.6,24.6,25.2
7,Delaware,1.0,503.0,492.0,996.0,0.18,24.1,23.4,24.8,23.6,24.1
8,District of Columbia,1.0,482.0,468.0,950.0,0.32,24.4,23.5,24.9,23.5,24.2
9,Florida,0.83,520.0,497.0,1017.0,0.73,19.0,19.4,21.0,19.4,19.8
10,Georgia,0.61,535.0,515.0,1050.0,0.55,21.0,20.9,22.0,21.3,21.4
11,Hawaii,0.55,544.0,541.0,1085.0,0.9,17.8,19.2,19.2,19.3,19.0
12,Idaho,0.93,513.0,493.0,1005.0,0.38,21.9,21.8,23.0,22.1,22.3
13,Illinois,0.09,559.0,556.0,1115.0,0.93,21.0,21.2,21.6,21.3,21.4
14,Indiana,0.63,542.0,532.0,1074.0,0.35,22.0,22.4,23.2,22.3,22.6
15,Iowa,0.02,641.0,635.0,1275.0,0.67,21.2,21.3,22.6,22.1,21.9
16,Kansas,0.04,632.0,628.0,1260.0,0.73,21.1,21.3,22.3,21.7,21.7
17,Kentucky,0.04,631.0,616.0,1247.0,1.0,19.6,19.4,20.5,20.1,20.0
18,Louisiana,0.04,611.0,586.0,1198.0,1.0,19.4,18.8,19.8,19.6,19.5
19,Maine,0.95,513.0,499.0,1012.0,0.08,24.2,24.0,24.8,23.7,24.3
20,Maryland,0.69,536.0,52.0,1060.0,0.28,23.3,23.1,24.2,2.3,23.6
21,Massachusetts,0.76,555.0,551.0,1107.0,0.29,25.4,25.3,25.9,24.7,25.4
22,Michigan,1.0,509.0,495.0,1005.0,0.29,24.1,23.7,24.5,23.8,24.1
23,Minnesota,0.03,644.0,651.0,1295.0,1.0,20.4,21.5,21.8,21.6,21.5
24,Mississippi,0.02,634.0,607.0,1242.0,1.0,18.2,18.1,18.8,18.8,18.6
25,Missouri,0.03,640.0,631.0,1271.0,1.0,19.8,19.9,20.8,20.5,20.4
26,Montana,0.1,605.0,591.0,1196.0,1.0,19.0,20.2,21.0,20.5,20.3
27,Nebraska,0.03,629.0,625.0,1253.0,0.84,20.9,20.9,21.9,21.5,21.4
28,Nevada,0.26,563.0,553.0,1116.0,1.0,16.3,18.0,18.1,18.2,17.8
29,New Hampshire,0.96,532.0,520.0,1052.0,0.18,25.4,25.1,26.0,24.9,25.5
30,New Jersey,0.7,530.0,526.0,1056.0,0.34,23.8,23.8,24.1,23.2,23.9
31,New Mexico,0.11,577.0,561.0,1138.0,0.66,18.6,19.4,20.4,20.0,19.7
32,New York,0.67,528.0,523.0,1052.0,0.31,23.8,24.0,24.6,23.9,24.2
33,North Carolina,0.49,546.0,535.0,1081.0,1.0,17.8,19.3,19.6,19.3,19.1
34,North Dakota,0.02,635.0,621.0,1256.0,0.98,19.0,20.4,20.5,20.6,20.3
35,Ohio,0.12,578.0,570.0,1149.0,0.75,21.2,21.6,22.5,22.0,22.0
36,Oklahoma,0.07,530.0,517.0,1047.0,1.0,18.5,18.8,20.1,19.6,19.4
37,Oregon,0.43,560.0,548.0,1108.0,0.4,21.2,21.5,22.4,21.7,21.8
38,Pennsylvania,0.65,540.0,531.0,1071.0,0.23,23.4,23.4,24.2,23.3,23.7
39,Rhode Island,0.71,539.0,524.0,1062.0,0.21,24.0,23.3,24.7,23.4,24.0
40,South Carolina,0.5,543.0,521.0,1064.0,1.0,17.5,18.6,19.1,18.9,18.7
41,South Dakota,0.03,612.0,603.0,1216.0,0.8,20.7,21.5,22.3,22.0,21.8
42,Tennessee,0.05,623.0,604.0,1228.0,1.0,19.5,19.2,20.1,19.9,19.8
43,Texas,0.62,513.0,507.0,1020.0,0.45,19.5,20.7,21.1,20.9,20.7
44,Utah,0.03,624.0,614.0,1238.0,1.0,19.5,19.9,20.8,20.6,20.3
45,Vermont,0.6,562.0,551.0,1114.0,0.29,23.3,23.1,24.4,23.2,23.6
46,Virginia,0.65,561.0,541.0,1102.0,0.29,23.5,23.3,24.6,23.5,23.8
47,Washington,0.64,541.0,534.0,1075.0,0.29,20.9,21.9,22.1,22.0,21.9
48,West Virginia,0.14,558.0,528.0,1086.0,0.69,20.0,19.4,21.2,20.5,20.4
49,Wisconsin,0.03,642.0,649.0,1291.0,1.0,19.7,20.4,20.6,20.9,20.5
50,Wyoming,0.03,626.0,604.0,1230.0,1.0,19.4,19.8,20.8,20.6,20.2x
0,Alabama,0.06,595.0,571.0,1166.0,1.0,,,,,19.1
1,Alaska,0.43,562.0,544.0,1106.0,0.33,,,,,20.8
2,Arizona,0.29,577.0,572.0,1149.0,0.66,,,,,19.2
3,Arkansas,0.05,592.0,576.0,1169.0,1.0,,,,,19.4
4,California,0.6,540.0,536.0,1076.0,0.27,,,,,22.7
